CorrectClass MaxScore MaxScoreClass TrustedVote VoteScore TrustedScore FileName AN CE DS HP NE SA SC SR
AN 0.810194 HP 0.714286 0.830128 0.830132 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0513.JPG 0.063834 0.000552 0.014336 0.810194 0.008046 0.000010 0.034912 0.068117
AN 0.953885 HP 0.857143 0.723969 0.723972 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0514.JPG 0.036398 0.000067 0.000558 0.953885 0.003073 0.000003 0.000902 0.005115
AN 0.983304 HP 0.857143 0.825759 0.825759 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0515.JPG 0.013972 0.000006 0.000439 0.983304 0.000406 0.000000 0.000833 0.001040
AN 0.418325 SC 0.000000 0.987097 0.012903 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0516.JPG 0.187856 0.000345 0.029455 0.296604 0.037752 0.000033 0.418325 0.029631
AN 0.800688 HP 0.000000 0.553934 0.446066 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0517.JPG 0.134706 0.000170 0.001032 0.800688 0.003593 0.000013 0.046217 0.013581
AN 0.600780 HP 0.428571 0.547804 0.547807 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0518.JPG 0.188757 0.000270 0.002060 0.600780 0.010296 0.000006 0.170481 0.027351
AN 0.351072 HP 0.000000 1.000000 0.000000 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0519.JPG 0.065252 0.003817 0.067296 0.351072 0.158874 0.000364 0.195686 0.157638
AN 0.406308 HP 0.000000 1.000000 0.000000 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0520.JPG 0.260684 0.000859 0.027705 0.406308 0.014093 0.000609 0.129795 0.159947
AN 0.459885 AN 0.000000 0.723559 0.276441 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0521.JPG 0.282561 0.000056 0.003996 0.459885 0.007899 0.000062 0.077669 0.167873
AN 0.491382 HP 0.000000 0.999985 0.000015 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0522.JPG 0.000637 0.268621 0.003300 0.491382 0.059889 0.000953 0.021118 0.154100
